village,adjmatrix_key,HHnum_in_village,hhid,hohreligion,castesubcaste,rooftype1,rooftype2,rooftype3,rooftype4,rooftype5,rooftypeoth,room_no,bed_no,electricity,latrine,ownrent,hhSurveyed,leader
1,1,1,1001,HINDUISM,,0,1,0,0,0,,3,4,No,None,OWNED,0,0
1,2,2,1002,HINDUISM,,0,1,0,0,0,,1,1,"Yes, Government",None,OWNED,1,1
1,3,3,1003,HINDUISM,,0,0,0,0,1,,3,4,"Yes, Private",None,OWNED,0,1
1,4,4,1004,HINDUISM,,0,1,0,0,0,,2,6,"Yes, Private",Owned,OWNED,0,0
1,5,5,1005,HINDUISM,,0,1,0,0,0,,3,4,"Yes, Private",None,OWNED,0,0
1,6,6,1006,HINDUISM,,0,0,1,0,0,,2,1,"Yes, Private",Owned,OWNED,1,0
1,7,7,1007,HINDUISM,,0,0,1,0,0,,3,5,"Yes, Government",Owned,OWNED,1,0
1,8,8,1008,HINDUISM,,0,0,0,1,0,,2,1,"Yes, Government",Owned,OWNED,1,0
1,9,9,1009,HINDUISM,,0,1,0,0,0,,2,7,"Yes, Government",None,GIVEN BY GOVERNMENT,0,0
1,10,10,1010,HINDUISM,,0,0,1,0,0,,2,1,"Yes, Private",None,OWNED,0,0
1,11,12,1012,HINDUISM,,0,1,0,0,0,,2,0,"Yes, Government",None,OWNED,0,0
1,12,13,1013,HINDUISM,,0,1,0,0,0,,2,2,"Yes, Government",None,OWNED,1,0
1,13,14,1014,HINDUISM,,0,0,0,1,0,,1,4,"Yes, Government",None,GIVEN BY GOVERNMENT,0,0
1,14,15,1015,HINDUISM,,0,1,0,0,0,,2,0,"Yes, Government",None,OWNED,0,0
1,15,16,1016,HINDUISM,,0,0,0,1,0,,2,0,"Yes, Government",None,OWNED,1,1
1,16,17,1017,HINDUISM,,0,0,0,1,0,,1,0,"Yes, Government",None,OWNED,0,0
1,17,18,1018,HINDUISM,,0,1,0,0,0,,2,3,"Yes, Private",None,OWNED,0,0
1,18,19,1019,HINDUISM,,0,0,0,1,0,,3,0,"Yes, Private",None,OWNED,0,1
1,19,20,1020,HINDUISM,,0,0,1,0,0,,3,2,"Yes, Private",None,OWNED,1,0
1,20,21,1021,HINDUISM,,0,0,1,0,0,,3,2,"Yes, Private",Owned,OWNED,1,0
1,21,22,1022,HINDUISM,,0,0,1,0,0,,2,0,"Yes, Private",None,OWNED,0,0
1,22,23,1023,HINDUISM,,0,0,1,0,0,,2,4,"Yes, Government",None,GIVEN BY GOVERNMENT,0,0
1,23,24,1024,HINDUISM,,0,0,1,0,0,,2,2,"Yes, Government",None,OWNED,1,0
1,24,25,1025,HINDUISM,,0,0,0,1,0,,1,1,"Yes, Private",Owned,OWNED,0,1
1,25,26,1026,HINDUISM,,0,0,0,1,0,,2,0,"Yes, Government",None,OWNED,0,0
1,26,27,1027,HINDUISM,,0,0,0,1,0,,2,3,"Yes, Government",None,GIVEN BY GOVERNMENT,0,0
1,27,28,1028,HINDUISM,,0,0,0,1,0,,1,1,"Yes, Government",None,GIVEN BY GOVERNMENT,0,0
1,28,29,1029,HINDUISM,,0,0,0,1,0,,2,2,"Yes, Government",Owned,GIVEN BY GOVERNMENT,1,1
1,29,30,1030,HINDUISM,,0,0,0,1,0,,3,2,No,Owned,OWNED,0,0
1,30,31,1031,HINDUISM,,0,0,0,1,0,,4,2,"Yes, Government",Owned,GIVEN BY GOVERNMENT,1,0
1,31,32,1032,HINDUISM,,0,0,0,1,0,,2,0,"Yes, Government",None,OWNED,1,0
1,32,33,1033,HINDUISM,,0,0,0,1,0,,2,2,"Yes, Government",None,GIVEN BY GOVERNMENT,1,0
1,33,34,1034,HINDUISM,,0,0,0,1,0,,2,0,"Yes, Government",None,OWNED,0,0
1,34,35,1035,HINDUISM,,0,0,0,1,0,,2,2,"Yes, Government",None,GIVEN BY GOVERNMENT,1,0
1,35,36,1036,HINDUISM,,0,1,0,0,0,,2,2,"Yes, Government",None,GIVEN BY GOVERNMENT,0,0
1,36,37,1037,HINDUISM,,0,0,0,1,0,,2,0,"Yes, Government",None,GIVEN BY GOVERNMENT,1,1
1,37,38,1038,HINDUISM,,0,0,0,1,0,,2,2,No,None,OWNED,0,0
1,38,39,1039,HINDUISM,,0,0,0,1,0,,1,1,"Yes, Government",None,OWNED,0,0
1,39,40,1040,HINDUISM,,0,0,0,1,0,,2,2,"Yes, Private",None,OWNED,1,0
1,40,41,1041,HINDUISM,,0,0,0,1,0,,3,2,"Yes, Government",None,GIVEN BY GOVERNMENT,1,0
1,41,42,1042,ISLAM,,0,0,0,1,0,,2,0,"Yes, Government",None,GIVEN BY GOVERNMENT,1,1
1,42,43,1043,HINDUISM,,0,0,0,1,0,,2,0,"Yes, Private",None,OWNED,1,1
1,43,44,1044,HINDUISM,,0,0,0,1,0,,2,2,"Yes, Private",None,OWNED,0,0
1,44,45,1045,HINDUISM,,0,0,0,1,0,,3,2,No,Owned,GIVEN BY GOVERNMENT,0,1
1,45,46,1046,HINDUISM,,0,0,0,1,0,,2,2,"Yes, Private",None,OWNED,0,0
1,46,47,1047,HINDUISM,,0,0,0,1,0,,2,2,"Yes, Government",None,OWNED,0,0
1,47,48,1048,HINDUISM,,0,1,0,0,0,,2,2,"Yes, Private",None,GIVEN BY GOVERNMENT,1,0
1,48,49,1049,HINDUISM,,0,0,0,1,0,,2,2,"Yes, Government",None,GIVEN BY GOVERNMENT,1,0
1,49,50,1050,HINDUISM,,0,0,0,1,0,,3,2,"Yes, Private",None,OWNED,0,0
1,50,51,1051,HINDUISM,,0,0,0,1,0,,3,2,"Yes, Private",None,OWNED,0,0
1,51,52,1052,HINDUISM,,0,0,0,1,0,,2,1,"Yes, Government",None,OWNED,1,0
1,52,53,1053,HINDUISM,,0,0,0,1,0,,2,2,"Yes, Government",None,GIVEN BY GOVERNMENT,1,0
1,53,54,1054,HINDUISM,,0,0,0,1,0,,2,4,"Yes, Private",None,GIVEN BY GOVERNMENT,1,0
1,54,55,1055,HINDUISM,,1,0,0,0,0,,0,0,No,None,OWNED,0,0
1,55,56,1056,HINDUISM,,0,0,0,0,0,MUD THATCH,5,4,"Yes, Private",None,OWNED,0,0
1,56,57,1057,HINDUISM,,0,0,1,0,0,,3,5,"Yes, Government",None,OWNED,0,1
1,57,58,1058,HINDUISM,,0,0,1,0,0,,1,0,"Yes, Private",None,OWNED,1,0
1,58,59,1059,HINDUISM,,0,0,0,0,0,MUD,5,0,"Yes, Government",None,RENTED,1,0
1,59,60,1060,HINDUISM,,0,0,0,0,0,MUD,3,0,"Yes, Private",None,OWNED,0,1
1,60,61,1061,HINDUISM,,0,0,0,0,0,MUD,3,0,"Yes, Private",None,OWNED,0,0
1,61,62,1062,HINDUISM,,0,0,1,0,0,,1,0,"Yes, Private",None,RENTED,1,1
